transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,hours_since_failure,previous_payments,previous_successes,previous_failures,customer_lifetime_value,customer_tenure_days,avg_previous_amount,payment_success_rate,days_since_last_success,failed_payment_count_30d,recovered
TX000001,C01339,2002.31,CARD,INSUFFICIENT_FUNDS,0,4.18,16,12,4,20503.37,1192,2716.81,0.7294097857250931,66.75,0,1
TX000002,C11610,974.29,UPI,PERMANENT_DECLINE,0,53.78,14,9,5,11958.5,268,838.79,0.6235500816211761,7.29,1,0
TX000003,C09819,2034.93,UPI,TEMPORARY,0,12.21,14,11,3,23032.18,346,2195.89,0.771745038219367,11.95,1,1
TX000004,C06584,5911.21,UPI,INSUFFICIENT_FUNDS,0,61.14,15,12,3,66116.19,470,6390.17,0.7873955525961219,36.25,1,0
TX000005,C06496,2958.26,CARD,BANK_DECLINE,1,8.18,16,14,2,37064.02,40,3349.66,0.8976770073923149,59.59,0,0
TX000006,C12879,3523.22,WALLET,BANK_DECLINE,1,11.28,14,9,5,31830.5,706,2808.75,0.6568473129401841,8.63,0,0
TX000007,C01290,6924.46,CARD,BANK_DECLINE,0,5.34,24,23,1,90219.86,319,5105.47,0.9550277959977961,27.17,0,1
TX000008,C10461,1363.57,UPI,TEMPORARY,0,15.87,21,18,3,26315.2,480,1198.81,0.8745951592155222,64.3,0,1
TX000009,C03023,1081.9,UPI,BANK_DECLINE,2,2.6,12,11,1,24348.9,252,790.78,0.8940854646710327,22.53,1,1
TX000010,C01413,2038.27,UPI,INSUFFICIENT_FUNDS,1,8.0,24,21,3,24435.29,309,1336.79,0.8811336765960277,3.68,0,0
TX000011,C07898,883.53,CARD,EXPIRED_CARD,0,17.78,19,15,4,8380.49,145,800.11,0.7775212146808261,10.34,0,0
TX000012,C14635,1222.13,UPI,BANK_DECLINE,2,4.21,13,11,2,11870.9,828,1306.6,0.8252202649898881,28.5,3,0
TX000013,C11037,1235.77,WALLET,TEMPORARY,1,1.3,20,16,4,14131.44,520,1083.93,0.8146995495166688,130.95,1,0
TX000014,C11418,1074.0,UPI,INSUFFICIENT_FUNDS,0,6.25,12,9,3,12960.63,830,584.15,0.725337258279196,4.48,1,1
TX000015,C10763,745.67,UPI,BANK_DECLINE,0,22.73,21,18,3,15962.18,708,701.34,0.8761618498079676,48.0,1,1
TX000016,C11791,988.87,CARD,TEMPORARY,1,3.8,19,14,5,9262.1,248,632.67,0.7535707975888815,44.65,1,1
TX000017,C07699,4382.82,CARD,NETWORK_ERROR,1,3.84,16,13,3,44767.26,491,4970.95,0.7953146477858016,6.45,1,1
TX000018,C01922,1197.86,UPI,TEMPORARY,3,14.55,18,16,2,17883.25,43,716.53,0.8780782316433259,13.94,4,1
TX000019,C12597,4139.39,CARD,NETWORK_ERROR,1,7.62,18,15,3,53057.66,655,4507.14,0.8135189004424369,69.75,1,0
TX000020,C06756,931.82,UPI,INSUFFICIENT_FUNDS,3,31.48,20,17,3,12836.31,1172,1227.34,0.8495326479825727,3.83,0,0
TX000021,C07506,4379.86,CARD,BANK_DECLINE,0,18.17,23,21,2,58708.93,490,2879.62,0.9260978719503393,8.67,2,1
TX000022,C05562,2379.58,CARD,NETWORK_ERROR,0,6.04,18,15,3,37616.68,157,3277.4,0.8326941554973746,34.05,0,1
TX000023,C02739,273.4,UPI,BANK_DECLINE,3,38.25,23,21,2,15788.1,231,382.6,0.9307636287056985,16.2,0,0
TX000024,C13902,3374.62,UPI,BANK_DECLINE,1,12.76,16,16,0,44648.0,555,4154.56,0.995,26.2,0,0
TX000025,C11724,7146.74,CARD,TEMPORARY,0,6.81,12,11,1,87029.46,155,4499.92,0.9451024350049314,61.11,0,1
TX000026,C09658,1170.03,CARD,TEMPORARY,0,0.2,15,13,2,16050.28,1053,1369.96,0.8532290956862787,44.06,1,1
TX000027,C06037,1892.0,NETBANKING,INSUFFICIENT_FUNDS,1,14.74,21,17,4,21571.76,854,2018.76,0.8027499785250831,2.68,1,1
TX000028,C12342,1050.5,CARD,BANK_DECLINE,1,14.11,12,9,3,14221.78,198,953.32,0.7696549617305521,14.41,1,0
TX000029,C08182,3883.45,WALLET,TEMPORARY,0,11.22,19,15,4,41068.45,236,4522.1,0.7820503649777217,53.72,1,1
TX000030,C06652,697.18,NETBANKING,TEMPORARY,0,23.31,24,20,4,9629.6,910,1035.61,0.8460121267583228,65.84,1,1
TX000031,C06757,2847.06,CARD,TEMPORARY,2,14.88,22,17,5,29639.03,459,2767.77,0.7835412792772566,19.87,0,1
TX000032,C03409,4592.38,UPI,BANK_DECLINE,0,29.1,21,19,2,59109.03,689,5337.07,0.9160006696375486,21.05,1,0
TX000033,C01383,696.47,CARD,EXPIRED_CARD,0,1.8,29,27,2,9533.47,813,989.97,0.9225385637261202,2.22,1,1
TX000034,C08319,5796.86,UPI,BANK_DECLINE,0,6.68,21,17,4,65154.58,349,7697.74,0.8273297536792096,39.88,3,1
TX000035,C13319,1977.21,UPI,TEMPORARY,0,0.2,16,14,2,25058.74,964,2460.55,0.8464104544031557,14.55,0,1
TX000036,C00958,3112.95,UPI,EXPIRED_CARD,0,8.78,25,22,3,34318.38,276,2479.78,0.8929025520803406,44.62,1,0
TX000037,C12875,3705.35,UPI,PERMANENT_DECLINE,0,19.53,19,14,5,33032.57,354,3215.39,0.760112207774459,37.18,3,0
TX000038,C12415,1377.27,UPI,PERMANENT_DECLINE,2,20.81,18,15,3,16116.75,98,2508.66,0.8362959615677718,14.1,2,0
TX000039,C04152,2112.06,CARD,TEMPORARY,1,12.93,20,19,1,25632.95,399,2372.45,0.9370365951996282,64.26,1,1
TX000040,C09475,2279.64,CARD,BANK_DECLINE,0,3.8,20,19,1,31128.4,381,1052.8,0.9415000345568073,37.75,0,0
TX000041,C02479,1652.78,NETBANKING,INSUFFICIENT_FUNDS,0,23.06,25,24,1,19369.58,1103,1856.77,0.9452313765993892,27.37,3,1
TX000042,C11372,1982.3,CARD,TEMPORARY,0,24.26,19,17,2,27155.11,264,1746.64,0.9180335642610603,23.15,0,1
TX000043,C10508,3521.94,NETBANKING,TEMPORARY,2,6.05,12,10,2,37542.22,348,3781.99,0.8450343674561418,32.6,1,1
TX000044,C05318,3266.61,UPI,BANK_DECLINE,1,10.88,19,16,3,37253.04,209,3534.54,0.8472333507101124,23.14,1,1
TX000045,C01019,3492.11,CARD,BANK_DECLINE,0,10.41,12,9,3,32463.31,914,3763.31,0.7189487128569484,53.03,0,0
TX000046,C14561,351.18,UPI,TEMPORARY,0,3.69,22,19,3,11843.13,619,305.07,0.8861387196081025,87.6,0,1
TX000047,C06686,879.76,CARD,TEMPORARY,0,13.33,21,20,1,16873.62,78,1148.01,0.9703672372306809,27.26,0,0
TX000048,C13397,1930.84,CARD,INSUFFICIENT_FUNDS,0,36.44,20,19,1,23863.84,554,1976.84,0.943761086915902,8.64,0,1
TX000049,C10169,2674.58,CARD,EXPIRED_CARD,2,26.02,21,19,2,36895.84,547,2175.86,0.9222222301199283,21.79,0,1
TX000050,C11676,4569.66,UPI,NETWORK_ERROR,0,3.6,21,18,3,51960.32,846,5056.38,0.8587683407453076,18.57,0,1
TX000051,C11399,285.82,CARD,PERMANENT_DECLINE,1,32.54,13,9,4,5012.27,131,186.58,0.7144086018698816,23.67,3,0
TX000052,C02920,2261.54,UPI,INSUFFICIENT_FUNDS,0,14.31,13,10,3,22357.03,1183,1484.14,0.794304226109864,14.92,0,0
TX000053,C05459,2246.84,UPI,BANK_DECLINE,3,5.4,18,16,2,28892.97,937,1078.24,0.8982373040130581,11.9,1,0
TX000054,C07001,1211.99,UPI,INSUFFICIENT_FUNDS,1,3.66,18,14,4,19769.53,887,1047.56,0.7652641658423918,8.51,2,0
TX000055,C07467,2489.89,UPI,BANK_DECLINE,1,10.08,26,22,4,31218.4,172,2827.58,0.8447817442544052,26.56,0,1
TX000056,C00658,1360.25,UPI,BANK_DECLINE,1,22.09,23,18,5,14557.15,1114,1803.08,0.770208221440701,27.78,1,0
